timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
17-06-19 9:30,Profit Premimum below 15,CE,11950,20-06-19,9.95,1,sell,closed,14.05,522.85
17-06-19 9:30,Profit Premimum below 15; bying again,CE,11850,20-06-19,25.9,1,sell,open,-,522.85
17-06-19 10:15,40 < RSI-D < 60; crossunder 30,PE,11800,20-06-19,85.5,2,sell,closed,-56.45,466.4
17-06-19 10:15,40 < RSI-D < 60; crossunder 30,PE,11800,20-06-19,85.5,1,sell,closed,-52.2,414.2
17-06-19 14:44,Profit Premimum below 15,CE,11850,20-06-19,15,1,sell,closed,10.9,425.1
17-06-19 14:44,Profit Premimum below 15; bying again,CE,11800,20-06-19,23.9,1,sell,open,-,425.1
17-06-19 15:30,weekly closing,CE,11800,20-06-19,21.2,1,sell,closed,2.7,427.8
21-06-19 10:15,45 < RSI-D < 60; crossunder 55,CE,11950,27-06-19,24.8,1,sell,open,-,427.8
21-06-19 13:57,Profit Premimum below 15,CE,11950,27-06-19,14.5,1,sell,closed,10.3,438.1
21-06-19 13:57,Profit Premimum below 15; bying again,CE,11900,27-06-19,23.9,1,sell,open,-,438.1
24-06-19 9:42,Profit Premimum below 15,CE,11900,27-06-19,14.85,1,sell,closed,9.05,447.15
24-06-19 9:42,Profit Premimum below 15; bying again,CE,11850,27-06-19,24.8,1,sell,open,-,447.15
24-06-19 14:35,Profit Premimum below 15,CE,11850,27-06-19,15,1,sell,closed,9.8,456.95
24-06-19 14:35,Profit Premimum below 15; bying again,CE,11800,27-06-19,25.75,1,sell,open,-,456.95
24-06-19 15:30,weekly closing,CE,11800,27-06-19,30.95,1,sell,closed,-5.2,451.75
28-06-19 11:15,45 < RSI-D < 60; crossunder 55,CE,11950,04-07-19,32,1,sell,open,-,451.75
01-07-19 15:30,weekly closing,CE,11950,04-07-19,27.75,1,sell,closed,4.25,456
02-07-19 10:15,45 < RSI-D < 60; crossunder 55,CE,12100,11-07-19,32.3,1,sell,open,-,456
02-07-19 15:22,premimum > 40; type2 purchase,PE,11650,11-07-19,26.5,2,sell,open,-,456
02-07-19 15:22,premimum > 40; type2 purchase,PE,11650,11-07-19,26.5,1,sell,open,-,456
04-07-19 9:30,Profit Premimum below 15,PE,11650,11-07-19,14.95,2,sell,closed,11.55,467.55
04-07-19 9:30,Profit Premimum below 15,PE,11650,11-07-19,14.95,1,sell,closed,11.55,479.1
