timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
2019-03-28 10:25:00,premimum > 45; type2 purchase (Hedging),CE,11950.0,2019-04-04,1.75,2,buy,open,-,181.74999999999994
2019-04-01 09:15:00,Profit Premimum below 15,PE,11400.0,2019-04-04,9.1,1,sell,closed,30.9,212.64999999999995
2019-04-01 09:15:00,Profit Premimum below 15; bying again,PE,11550.0,2019-04-04,29.7,1,sell,open,-,212.64999999999995
2019-04-01 09:15:00,Profit Premimum below 15; bying again (Hedging),PE,11200.0,2019-04-04,3.55,1,buy,open,-,212.64999999999995
2019-04-01 14:03:00,Profit Premimum below 15,PE,11550.0,2019-04-04,14.75,1,sell,closed,14.95,227.59999999999994
2019-04-01 14:03:00,Profit Premimum below 15; bying again,PE,11650.0,2019-04-04,34.7,1,sell,open,-,227.59999999999994
2019-04-01 14:03:00,Profit Premimum below 15; bying again (Hedging),PE,11200.0,2019-04-04,2.05,1,buy,open,-,227.59999999999994
2019-04-01 15:30:00,weekly closing,CE,11700.0,2019-04-04,60.95,2,sell,closed,-24.900000000000006,202.69999999999993
2019-04-01 15:30:00,weekly closing,CE,11950.0,2019-04-04,3.6,2,buy,closed,1.85,204.54999999999993
2019-04-01 15:30:00,weekly closing,PE,11200.0,2019-04-04,2.4,1,buy,closed,-1.15,203.39999999999992
2019-04-01 15:30:00,weekly closing,PE,11650.0,2019-04-04,45.4,1,sell,closed,-10.699999999999996,192.69999999999993
2019-04-01 15:30:00,weekly closing,PE,11200.0,2019-04-04,2.4,1,buy,closed,0.3500000000000001,193.04999999999993
2019-04-02 10:15:00,60 < RSI-D; 50 < RSI-H,PE,11450.0,2019-04-11,36.0,1,sell,open,-,193.04999999999993
2019-04-03 09:16:00,Profit Premimum below 15,PE,11450.0,2019-04-11,12.0,1,sell,closed,24.0,217.04999999999993
2019-04-03 09:16:00,Profit Premimum below 15; bying again,PE,11550.0,2019-04-11,36.6,1,sell,open,-,217.04999999999993
